City,PM2.5_x,PM10_x,NO_x,NO2_x,NOx_x,NH3_x,CO_x,SO2_x,O3_x,AQI,AQI_Bucket_x,Date,PM2.5_y,PM10_y,NO_y,NO2_y,NOx_y,NH3_y,CO_y,SO2_y,O3_y,Benzene,Toluene,Xylene,AQI_chem
Mumbai,485.1,549.4,175.2,40.5,201.8,39.2,7.54,10.6,52.5,169.2,Moderate,2015-01-07,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.08,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,325.4,129.0,184.1,57.5,111.3,32.9,3.27,44.9,173.7,475.4,Severe,2015-01-07,74.80060088202866,167.82286741214057,43.92,46.38,13.32,4.9,1.22,28.13,13.94,0.2,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,315.2,354.9,161.9,45.6,152.4,37.1,6.81,84.6,28.8,465.2,Severe,2015-01-08,229.9,360.95,23.34,43.16,51.21,138.13,11.01,3.31,30.51,5.8,11.4,4.83,383.0
Mumbai,97.0,302.5,14.6,148.8,105.5,43.7,1.8,32.9,141.4,252.5,Poor,2015-01-08,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.48,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,421.0,328.6,174.3,45.5,227.8,30.8,6.97,80.4,145.8,278.6,Poor,2015-01-08,74.80060088202866,167.82286741214057,26.74,37.79,10.98,3.71,1.15,21.26,38.29,0.97,3.54,1.056325369738339,170.37583148558758
Delhi,226.8,103.0,72.6,100.6,32.9,23.4,9.29,56.6,118.8,382.2,Very Poor,2015-01-09,201.66,397.43,19.18,38.56,45.6,140.6,11.09,3.48,32.94,5.25,11.12,5.26,375.0
Mumbai,232.9,102.6,44.8,113.4,233.2,7.9,9.66,8.7,82.5,386.9,Very Poor,2015-01-09,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.22,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,74.0,295.4,98.2,105.5,165.2,48.7,2.18,95.6,51.9,245.4,Poor,2015-01-09,74.80060088202866,167.82286741214057,39.24,42.65,10.52,5.81,1.31,22.82,27.34,3.1,14.68,1.056325369738339,170.37583148558758
Delhi,316.8,209.1,68.0,100.0,30.2,36.8,3.37,11.2,4.4,466.8,Severe,2015-01-10,221.02,361.74,24.79,46.39,55.19,134.06,9.7,5.91,34.12,4.87,9.44,4.76,376.0
Mumbai,308.7,415.3,23.9,97.4,51.7,10.6,4.86,29.6,87.9,458.7,Severe,2015-01-10,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,28.03,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,308.1,73.0,26.2,134.3,136.4,42.9,3.5,48.5,113.0,458.1,Severe,2015-01-10,74.80060088202866,167.82286741214057,10.2,19.17,11.15,3.96,0.98,17.36,27.19,0.04,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,439.9,495.3,135.7,93.8,140.1,22.8,9.87,79.3,119.7,493.3,Severe,2015-01-11,205.41,393.2,28.46,47.29,57.88,131.1,10.98,5.54,50.37,5.93,10.59,5.36,379.0
Mumbai,144.3,120.8,71.2,58.2,213.0,45.1,5.15,95.9,63.6,318.9,Very Poor,2015-01-11,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.57,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,279.8,525.6,110.7,1.1,200.5,45.4,2.65,62.1,171.0,429.8,Severe,2015-01-11,74.80060088202866,167.82286741214057,55.04,49.87,14.65,3.77,0.8,21.75,19.04,0.39,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,59.0,239.1,175.8,118.4,153.6,32.1,0.1,90.7,191.8,258.9,Poor,2015-01-12,212.41,345.63,24.77,44.71,54.66,148.51,9.3,5.17,40.08,6.2,10.68,4.59,375.0
Mumbai,126.2,470.0,183.4,71.4,121.9,30.5,9.13,71.7,59.2,457.0,Severe,2015-01-12,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,28.44,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,391.2,24.4,3.1,133.3,222.1,21.2,9.57,6.3,176.9,221.1,Poor,2015-01-12,74.80060088202866,167.82286741214057,23.78,30.31,15.71,4.16,1.07,28.51,18.32,0.1,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,15.9,408.7,182.4,33.6,112.6,31.7,9.49,12.3,25.7,373.3,Very Poor,2015-01-13,197.61,301.04,34.28,45.88,62.95,145.48,11.52,5.95,39.54,5.18,9.5,4.17,366.0
Mumbai,11.4,261.5,120.0,70.2,2.9,23.6,7.79,21.0,104.0,211.5,Poor,2015-01-13,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,29.15,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,151.9,242.5,85.7,1.5,57.8,0.5,8.16,50.4,104.8,324.7,Very Poor,2015-01-13,74.80060088202866,167.82286741214057,48.95,64.35,12.73,6.06,0.97,16.44,17.25,0.78,0.96,1.056325369738339,170.37583148558758
Delhi,33.1,568.6,154.4,145.7,96.1,16.7,2.65,13.5,89.5,165.7,Moderate,2015-01-14,164.39,227.38,20.78,41.17,48.09,166.7,10.32,4.85,42.05,4.57,10.72,3.06,353.0
Mumbai,260.6,450.2,8.1,1.6,136.0,45.3,6.09,14.5,46.0,428.5,Severe,2015-01-14,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,28.59,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,338.7,223.1,103.9,94.8,204.3,1.2,9.61,4.1,80.1,488.7,Severe,2015-01-14,74.80060088202866,167.82286741214057,29.88,38.23,15.74,8.79,1.22,20.32,23.68,2.67,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,67.7,597.1,17.2,34.8,180.1,38.8,5.05,13.3,48.5,138.0,Moderate,2015-01-15,166.19,283.93,47.91,56.7,79.73,124.64,10.81,6.94,43.25,6.98,20.55,3.08,340.0
Mumbai,429.8,345.4,13.4,50.2,120.3,33.9,4.27,35.3,127.1,295.4,Poor,2015-01-15,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.83,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,172.5,481.8,67.9,2.1,132.4,11.6,8.75,49.0,39.6,473.9,Severe,2015-01-15,74.80060088202866,167.82286741214057,18.58,23.87,12.97,4.53,1.01,21.92,14.1,0.24,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,283.3,260.2,137.0,12.5,158.5,1.9,1.88,91.3,167.1,433.3,Severe,2015-01-16,174.98,309.99,42.33,49.41,70.6,136.4,11.46,4.69,34.7,7.75,15.83,3.75,356.0
Mumbai,400.7,50.6,24.2,105.4,103.1,18.7,0.04,27.0,70.9,125.4,Moderate,2015-01-16,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.1,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,259.6,202.0,58.3,0.9,132.1,42.0,0.94,19.9,194.9,409.6,Severe,2015-01-16,74.80060088202866,167.82286741214057,12.29,18.39,12.51,4.03,1.17,13.18,13.22,0.14,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,378.5,185.2,124.3,129.2,116.2,37.9,6.57,98.7,81.2,157.0,Moderate,2015-01-17,196.46,356.2,42.18,53.04,80.18,125.49,8.87,5.13,25.77,9.92,17.59,3.36,360.0
Mumbai,310.7,276.4,172.9,41.5,173.6,26.4,6.74,44.2,175.1,460.7,Severe,2015-01-17,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.21,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,391.2,19.4,106.1,149.0,30.2,35.2,9.12,7.8,109.5,189.0,Moderate,2015-01-17,74.80060088202866,167.82286741214057,9.57,17.4,12.93,3.77,1.7,10.44,26.34,0.03,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,486.5,401.3,97.5,1.0,67.5,21.3,2.88,63.0,171.9,364.0,Very Poor,2015-01-18,201.51,359.75,45.51,53.77,75.83,120.45,8.99,5.43,23.22,9.0,20.95,4.03,370.0
Mumbai,408.4,375.4,35.3,72.6,175.0,4.8,2.2,23.2,67.5,331.6,Very Poor,2015-01-18,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.89,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,481.6,113.7,126.7,7.9,249.5,24.2,5.22,39.3,197.5,273.3,Poor,2015-01-18,74.80060088202866,167.82286741214057,24.48,30.7,9.26,3.63,1.12,11.33,29.08,0.09,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,176.7,498.0,108.8,98.2,224.1,44.6,7.15,95.7,100.2,497.1,Severe,2015-01-19,183.35,305.13,27.32,39.88,55.67,148.49,9.02,4.21,25.34,5.57,12.93,3.62,362.0
Mumbai,358.0,290.4,84.5,102.0,122.5,19.6,5.01,62.5,104.3,240.4,Poor,2015-01-19,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.78,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,340.4,538.3,54.7,65.9,94.5,8.4,8.4,58.5,20.9,490.4,Severe,2015-01-19,74.80060088202866,167.82286741214057,42.76,41.8,9.43,3.82,2.35,9.72,27.45,0.31,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,187.7,42.5,138.5,4.3,82.5,33.2,1.87,60.7,172.3,352.2,Very Poor,2015-01-20,165.63,257.04,16.47,34.23,37.68,146.31,8.03,4.11,22.69,3.42,6.76,3.28,340.0
Mumbai,478.8,359.8,45.7,50.3,151.7,27.3,2.52,39.4,61.1,312.0,Very Poor,2015-01-20,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,25.39,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,144.8,52.9,13.8,109.9,38.9,26.7,6.93,7.2,17.3,319.3,Very Poor,2015-01-20,74.80060088202866,167.82286741214057,21.82,27.9,11.76,20.14,1.99,8.52,32.32,0.06,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,3.5,506.4,143.5,146.1,53.1,2.6,3.92,81.4,53.8,166.1,Moderate,2015-01-21,159.54,235.27,12.27,22.56,33.02,63.23,9.01,7.05,18.56,4.1,8.26,2.72,338.0
Mumbai,70.9,86.1,156.8,15.5,28.9,19.8,2.19,22.8,56.6,134.8,Moderate,2015-01-21,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,25.04,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,374.0,277.3,90.4,146.5,113.7,45.7,0.41,89.6,154.4,227.3,Poor,2015-01-21,74.80060088202866,167.82286741214057,43.8,59.26,8.54,3.85,1.79,9.28,18.84,9.48,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,403.8,423.9,106.4,41.3,106.2,23.0,8.67,68.2,135.0,392.4,Very Poor,2015-01-22,143.68,183.89,14.75,21.82,34.88,39.65,10.58,8.64,6.94,4.15,9.54,2.78,332.0
Mumbai,131.2,368.1,24.2,80.9,9.5,28.5,6.61,37.5,40.1,322.4,Very Poor,2015-01-22,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,24.28,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,90.0,428.5,123.1,48.7,16.2,36.1,0.5,49.2,52.7,398.1,Very Poor,2015-01-22,74.80060088202866,167.82286741214057,45.63,46.77,8.85,4.6,1.43,7.64,24.98,12.58,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,157.5,365.1,151.9,57.5,103.4,41.2,4.1,37.0,139.6,329.0,Very Poor,2015-01-23,128.73,136.07,11.99,17.35,29.46,39.98,8.74,6.77,10.91,2.51,7.64,2.49,254.0
Mumbai,476.7,360.1,14.4,148.5,49.3,4.5,8.41,48.4,160.9,312.4,Very Poor,2015-01-23,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.51,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,153.9,337.5,18.1,114.3,148.8,26.0,0.53,17.6,93.1,326.2,Very Poor,2015-01-23,74.80060088202866,167.82286741214057,34.64,37.55,10.49,4.01,3.43,10.57,42.33,7.99,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,188.3,442.6,191.0,82.8,181.5,13.7,0.53,3.6,37.1,417.6,Severe,2015-01-24,164.98,200.02,10.38,15.77,25.49,38.77,9.39,8.89,9.35,2.6,5.5,2.94,324.0
Mumbai,420.7,186.9,32.9,45.8,234.1,31.1,4.81,12.5,185.8,243.6,Poor,2015-01-24,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.59,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,232.1,581.7,104.6,50.3,226.3,47.5,5.06,38.1,17.9,386.3,Very Poor,2015-01-24,74.80060088202866,167.82286741214057,12.39,9.89,14.62,4.36,0.84,7.39,37.17,3.290950354609929,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,397.3,457.0,112.9,100.4,87.4,21.1,7.67,76.0,2.7,438.3,Severe,2015-01-25,148.59,203.81,11.82,20.83,28.29,45.62,11.44,5.96,16.65,3.37,6.98,2.94,333.0
Mumbai,353.4,178.3,105.4,79.3,104.7,48.1,4.61,23.1,181.1,231.7,Poor,2015-01-25,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.27,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,122.2,97.8,140.8,106.0,234.2,6.6,2.59,73.6,109.3,301.9,Very Poor,2015-01-25,74.80060088202866,167.82286741214057,34.39,10.14,14.56,3.98,0.85,7.16,17.11,3.290950354609929,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,336.2,576.0,52.7,6.6,157.1,0.4,4.15,96.1,165.4,486.2,Severe,2015-01-26,129.34,137.86,12.46,25.66,29.48,60.96,10.19,6.78,18.18,3.0,5.87,2.51,292.0
Mumbai,52.5,410.4,132.1,61.3,162.1,18.6,3.19,18.0,198.3,375.4,Very Poor,2015-01-26,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.86,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,487.7,332.9,140.6,94.1,107.2,12.2,5.26,66.6,14.5,282.9,Poor,2015-01-26,74.80060088202866,167.82286741214057,30.07,10.44,14.43,3.53,2.07,7.38,20.18,3.290950354609929,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,125.9,443.0,35.0,120.4,103.5,41.6,4.44,30.5,91.4,418.2,Severe,2015-01-27,154.2,217.2,14.41,30.39,34.63,40.96,10.36,6.42,17.11,3.31,6.31,3.07,318.0
Mumbai,50.4,334.5,116.3,94.8,199.5,34.7,0.89,93.6,59.9,284.5,Poor,2015-01-27,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.26,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,258.8,116.4,139.9,139.7,153.0,4.8,2.74,51.1,181.9,408.8,Severe,2015-01-27,74.80060088202866,167.82286741214057,8.83,12.63,13.41,4.28,1.16,7.14,27.02,3.290950354609929,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,67.1,557.4,141.8,141.9,20.8,39.4,5.7,58.0,4.3,161.9,Moderate,2015-01-28,134.6,156.9,18.96,28.6,35.57,49.71,10.21,5.21,15.23,3.27,6.86,2.63,295.0
Mumbai,373.7,173.1,160.7,78.5,75.1,43.2,2.88,93.8,64.8,148.9,Moderate,2015-01-28,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.45,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,356.2,11.9,182.8,95.5,173.4,14.4,7.42,99.6,143.2,167.7,Moderate,2015-01-28,74.80060088202866,167.82286741214057,10.41,16.83,14.9,3.69,2.81,8.06,36.68,3.290950354609929,8.98,1.056325369738339,170.37583148558758
Delhi,122.3,457.2,137.7,46.7,110.1,13.7,0.77,95.0,127.3,438.6,Severe,2015-01-29,173.13,277.0,23.14,38.34,48.89,62.03,11.74,5.53,16.29,4.02,9.84,3.42,327.0
Mumbai,174.8,500.3,52.0,116.3,37.0,35.9,1.61,83.5,103.3,342.3,Very Poor,2015-01-29,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.3,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,485.9,513.1,163.1,135.0,140.5,37.7,3.37,9.8,18.7,155.0,Moderate,2015-01-29,74.80060088202866,167.82286741214057,44.65,41.79,13.2,3.95,0.84,8.46,26.29,3.290950354609929,2.86,1.056325369738339,170.37583148558758
Delhi,485.5,128.0,37.5,103.7,79.1,10.8,1.14,6.5,133.6,149.2,Moderate,2015-01-30,178.04,272.61,19.8,38.43,44.45,69.78,11.58,6.43,14.91,3.65,6.61,3.35,345.0
Mumbai,481.7,472.6,30.1,92.2,166.7,37.6,5.35,39.2,133.2,460.7,Severe,2015-01-30,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,25.64,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,53.6,580.2,75.4,127.8,135.8,47.7,2.2,58.0,16.6,147.8,Moderate,2015-01-30,74.80060088202866,167.82286741214057,21.66,23.84,15.56,5.54,0.82,9.46,21.75,3.290950354609929,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,405.9,355.9,116.2,88.1,125.4,26.6,6.87,87.6,109.2,307.1,Very Poor,2015-01-31,158.59,207.06,30.67,41.36,57.77,67.66,8.7,5.03,17.51,4.36,8.98,2.54,334.0
Mumbai,466.3,497.0,125.7,12.5,188.5,4.4,9.37,41.2,83.4,495.7,Severe,2015-01-31,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.34,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,18.5,301.8,131.1,135.2,90.1,49.8,0.11,97.6,168.6,251.8,Poor,2015-01-31,74.80060088202866,167.82286741214057,44.76,46.59,14.26,4.37,0.94,7.88,38.57,3.290950354609929,7.18,1.056325369738339,170.37583148558758
Delhi,4.2,172.2,85.1,0.9,146.2,47.1,2.99,91.0,36.4,148.3,Moderate,2015-02-01,211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,6.65,15.45,3.36,358.0
Mumbai,310.5,197.1,140.2,126.3,167.0,8.0,6.77,76.9,156.1,460.5,Severe,2015-02-01,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.25,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,280.3,116.3,183.7,7.2,209.2,37.6,3.96,47.2,111.6,430.3,Severe,2015-02-01,74.80060088202866,167.82286741214057,21.43,26.05,12.53,4.2,0.71,7.76,42.61,3.290950354609929,11.39,1.056325369738339,170.37583148558758
Delhi,334.2,286.2,108.7,139.7,54.2,32.4,2.99,14.9,76.3,484.2,Severe,2015-02-02,163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,2.53,4.69,2.58,349.0
Mumbai,44.3,385.8,51.0,1.3,237.1,18.4,1.2,35.8,71.8,344.6,Very Poor,2015-02-02,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.0,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,415.4,322.5,7.9,122.1,242.8,23.3,8.88,17.4,198.4,275.6,Poor,2015-02-02,74.80060088202866,167.82286741214057,10.61,15.82,20.87,3.63,1.59,10.58,38.8,3.290950354609929,13.02,1.056325369738339,170.37583148558758
Delhi,292.7,5.6,160.1,110.9,97.6,34.1,4.79,49.8,55.2,442.7,Severe,2015-02-03,157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,2.13,4.24,1.12,334.0
Mumbai,229.6,71.9,145.4,116.6,194.1,5.3,0.43,87.5,38.9,384.3,Very Poor,2015-02-03,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,28.16,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,391.0,113.5,71.8,54.5,203.3,7.7,5.41,32.7,43.0,142.5,Moderate,2015-02-03,74.80060088202866,167.82286741214057,9.09,14.89,17.92,5.12,0.98,6.83,29.08,3.290950354609929,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,413.1,254.3,156.9,44.4,239.4,23.1,5.08,39.5,28.9,204.3,Poor,2015-02-04,137.26,147.08,15.21,29.69,36.06,53.28,9.11,5.06,15.07,3.04,6.31,2.79,313.0
Mumbai,415.4,72.9,175.3,19.3,184.6,6.8,8.19,88.4,194.0,264.5,Poor,2015-02-04,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,29.13,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,212.3,11.5,189.4,1.7,208.4,8.1,6.44,12.1,64.9,371.1,Very Poor,2015-02-04,74.80060088202866,167.82286741214057,9.22,14.0,16.97,27.6,0.85,4.89,36.62,3.290950354609929,11.48,1.056325369738339,170.37583148558758
Delhi,172.9,328.3,79.4,28.6,207.0,13.3,8.51,85.2,189.5,340.8,Very Poor,2015-02-05,131.76,127.42,23.15,36.51,47.4,51.24,8.18,4.85,21.7,4.92,10.17,3.33,262.0
Mumbai,477.3,171.5,76.4,121.4,192.5,3.2,5.81,45.2,50.7,147.8,Moderate,2015-02-05,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,28.98,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,301.3,302.1,100.1,81.7,220.6,11.1,4.91,14.1,136.9,451.3,Severe,2015-02-05,74.80060088202866,167.82286741214057,15.68,19.17,16.44,76.99,0.95,7.48,29.93,3.290950354609929,9.226440829460136,1.056325369738339,170.37583148558758
